design,signal,training_rows,validation_pairs,groups,peers,total_observations,method,level,replications,rejections,rejection_rate,ci_lower,ci_upper,target,allowance_failures,p_min,p_median,p_max,mean,signed_allowance,mean_radius
two_balanced,0,8192,512,100,64,15616,independent_betting,0.001,300,0,0,0,0.012220974694293552,0,0,1,1,1,3.4732160903883112e-05,0.027732310978282021,
two_balanced,0,8192,512,100,64,15616,independent_betting,0.0050000000000000001,300,0,0,0,0.012220974694293552,0,0,1,1,1,3.4732160903883112e-05,0.027732310978282021,
two_balanced,0,8192,512,100,64,15616,independent_betting,0.01,300,0,0,0,0.012220974694293552,0,0,1,1,1,3.4732160903883112e-05,0.027732310978282021,
two_balanced,0,8192,512,100,64,15616,independent_betting,0.050000000000000003,300,0,0,0,0.012220974694293552,0,0,1,1,1,3.4732160903883112e-05,0.027732310978282021,
two_balanced,0,8192,512,100,64,15616,pooled_variance,0.001,300,0,0,0,0.012220974694293552,0,0,1,1,1,3.422406829272479e-05,0.027732310978282021,0.0044726027761089427
two_balanced,0,8192,512,100,64,15616,pooled_variance,0.0050000000000000001,300,0,0,0,0.012220974694293552,0,0,1,1,1,3.422406829272479e-05,0.027732310978282021,0.0044726027761089427
two_balanced,0,8192,512,100,64,15616,pooled_variance,0.01,300,0,0,0,0.012220974694293552,0,0,1,1,1,3.422406829272479e-05,0.027732310978282021,0.0044726027761089427
two_balanced,0,8192,512,100,64,15616,pooled_variance,0.050000000000000003,300,0,0,0,0.012220974694293552,0,0,1,1,1,3.422406829272479e-05,0.027732310978282021,0.0044726027761089427
two_balanced,0,8192,512,100,64,15616,pooled_betting,0.001,300,0,0,0,0.012220974694293552,0,0,1,1,1,3.6270711208849236e-05,0.027732310978282021,
two_balanced,0,8192,512,100,64,15616,pooled_betting,0.0050000000000000001,300,0,0,0,0.012220974694293552,0,0,1,1,1,3.6270711208849236e-05,0.027732310978282021,
two_balanced,0,8192,512,100,64,15616,pooled_betting,0.01,300,0,0,0,0.012220974694293552,0,0,1,1,1,3.6270711208849236e-05,0.027732310978282021,
two_balanced,0,8192,512,100,64,15616,pooled_betting,0.050000000000000003,300,0,0,0,0.012220974694293552,0,0,1,1,1,3.6270711208849236e-05,0.027732310978282021,
two_balanced,0,8192,8192,100,64,30976,signed_variance,0.001,300,0,0,0,0.012220974694293552,0,0,1,1,1,2.893245124878757e-05,0.0017504841130720058,0.0045278925018485327
two_balanced,0,8192,8192,100,64,30976,signed_variance,0.0050000000000000001,300,0,0,0,0.012220974694293552,0,0,1,1,1,2.893245124878757e-05,0.0017504841130720058,0.0045278925018485327
two_balanced,0,8192,8192,100,64,30976,signed_variance,0.01,300,0,0,0,0.012220974694293552,0,0,1,1,1,2.893245124878757e-05,0.0017504841130720058,0.0045278925018485327
two_balanced,0,8192,8192,100,64,30976,signed_variance,0.050000000000000003,300,0,0,0,0.012220974694293552,0,0,1,1,1,2.893245124878757e-05,0.0017504841130720058,0.0045278925018485327
two_balanced,0,8192,8192,100,64,30976,independent_bernstein,0.001,300,0,0,0,0.012220974694293552,0,0,1,1,1,3.4732160903883112e-05,0.0017504841130720058,0.0045286220583395176
two_balanced,0,8192,8192,100,64,30976,independent_bernstein,0.0050000000000000001,300,0,0,0,0.012220974694293552,0,0,1,1,1,3.4732160903883112e-05,0.0017504841130720058,0.0045286220583395176
two_balanced,0,8192,8192,100,64,30976,independent_bernstein,0.01,300,0,0,0,0.012220974694293552,0,0,1,1,1,3.4732160903883112e-05,0.0017504841130720058,0.0045286220583395176
two_balanced,0,8192,8192,100,64,30976,independent_bernstein,0.050000000000000003,300,0,0,0,0.012220974694293552,0,0,1,1,1,3.4732160903883112e-05,0.0017504841130720058,0.0045286220583395176
two_balanced,0,8192,8192,100,64,30976,independent_betting,0.001,300,0,0,0,0.012220974694293552,0,0,0.83331730244028579,1,1,3.4732160903883112e-05,0.0017504841130720058,
two_balanced,0,8192,8192,100,64,30976,independent_betting,0.0050000000000000001,300,0,0,0,0.012220974694293552,0,0,0.83331730244028579,1,1,3.4732160903883112e-05,0.0017504841130720058,
